,title,artist,lyrics
203,What is This Note?,Eels,Now we're gonna sing
204,Spunky,Eels,Spunky don't like her uniform
205,Spunky,Eels,It never fit so good
206,Spunky,Eels,Going back to the orphanage
207,Spunky,Eels,And the place where her garage once stood 
209,Spunky,Eels,Well it's a free-for-all
210,Spunky,Eels,"Free-for-all, free-for-all"
211,Spunky,Eels,It's a free-for-all you and me
212,Spunky,Eels,And if you don't like what they are telling you
213,Spunky,Eels,You can't teach a blind man to see 
214,Spunky,Eels,Well I can see 
216,Spunky,Eels,Spunky looks good in her bright red wig
217,Spunky,Eels,Eating chocolate chip mint ice cream
218,Spunky,Eels,A cat named lola with a violent past
219,Spunky,Eels,Is balled-up asleep 'cross her knees 
221,Spunky,Eels,And it's a free-for-all
222,Spunky,Eels,"Free-for-all, free-for-all"
223,Spunky,Eels,It's a free-for-all you and me
224,Spunky,Eels,One day the world will be ready for you
225,Spunky,Eels,And wonder how they didn't see 
227,Spunky,Eels,Spunky knows she can save the world
228,Spunky,Eels,In her own little way
229,Spunky,Eels,Turning in her old uniform
230,Spunky,Eels,'cause you know it really didn't pay 
232,Spunky,Eels,'cause it's a free-for-all
233,Spunky,Eels,"Free-for-all, free-for-all"
234,Spunky,Eels,It's a free-for-all you and me
235,Spunky,Eels,I'll walk through the world with your name on my tongue
236,Spunky,Eels,And your picture etched on my screen
237,Christmas is Going To the Dogs,Eels,"Get off your sled and go to bed, don't you ever tire?"
238,Christmas is Going To the Dogs,Eels,"Throw a bone, I'm finally home curled up by the fire"
239,Christmas is Going To the Dogs,Eels,Snow is falling from the sky like ashes from an urn
240,Christmas is Going To the Dogs,Eels,"Sweet dreams, my little one now it's my turn"
242,Christmas is Going To the Dogs,Eels,"Well, Christmas is going to the dogs"
243,Christmas is Going To the Dogs,Eels,We'd rather have chew toys than yule logs
244,Christmas is Going To the Dogs,Eels,"And things aren't looking very good, it's true"
245,Christmas is Going To the Dogs,Eels,"So, I'll just lay here and chew"
247,Christmas is Going To the Dogs,Eels,"Now, when I sleep I like to dream of rabbits in the snow"
248,Christmas is Going To the Dogs,Eels,Jumping right into my jaws from their rabbit hole
249,Christmas is Going To the Dogs,Eels,Take one home and set him down right next to your shoes
250,Christmas is Going To the Dogs,Eels,Wake up to a big surprise my gift to you
252,Christmas is Going To the Dogs,Eels,And Christmas is going to the dogs
253,Christmas is Going To the Dogs,Eels,We'd rather have chew toys than yule logs
254,Christmas is Going To the Dogs,Eels,"And things aren't looking very good, it's true"
255,Christmas is Going To the Dogs,Eels,"So, I'll just lay here and chew"
257,Christmas is Going To the Dogs,Eels,And Christmas is going to the dogs
258,Christmas is Going To the Dogs,Eels,We're scarfing down the turkey and egg-nog
259,Christmas is Going To the Dogs,Eels,"And things aren't looking very good, it's true"
260,Christmas is Going To the Dogs,Eels,"So, I'll just lay here and chew"
261,Christmas is Going To the Dogs,Eels,"So, I'll just stay here and chew"
262,The Man Who Didn't Know He'd Lost His Mind,Eels,What can I tell you you haven't heard a hundred times
263,The Man Who Didn't Know He'd Lost His Mind,Eels,About the man who didn't know he'd lost his mind?
264,The Man Who Didn't Know He'd Lost His Mind,Eels,He didn't know he'd lost his mind
265,The Man Who Didn't Know He'd Lost His Mind,Eels,He really thought that he was fine
267,The Man Who Didn't Know He'd Lost His Mind,Eels,Mary and Joseph look away from what is here
268,The Man Who Didn't Know He'd Lost His Mind,Eels,It's not gonna be a pretty sight
269,The Man Who Didn't Know He'd Lost His Mind,Eels,Sight
271,The Man Who Didn't Know He'd Lost His Mind,Eels,If it could be a little more and a little less
272,The Man Who Didn't Know He'd Lost His Mind,Eels,Maybe I'd get it all together and get out of this mess
273,The Man Who Didn't Know He'd Lost His Mind,Eels,I'm gonna get out of this mess
274,The Man Who Didn't Know He'd Lost His Mind,Eels,And I'll do my very best
275,The Man Who Didn't Know He'd Lost His Mind,Eels,To get out of this mess
276,The Man Who Didn't Know He'd Lost His Mind,Eels,And I'll go where I can breathe
277,Manchester Girl,Eels,She hides in the library reading Henry Miller books
278,Manchester Girl,Eels,"'Til they flash the lights, it's time to go"
279,Manchester Girl,Eels,When she was a little kid she said
280,Manchester Girl,Eels,"""Dad, I don't know why I feel so penniless inside"""
282,Manchester Girl,Eels,She's on the promenade
283,Manchester Girl,Eels,She's looking for a dress
284,Manchester Girl,Eels,She's locked outside a world
285,Manchester Girl,Eels,Just a Manchester girl
287,Manchester Girl,Eels,"Oh, I'll meet you there"
288,Manchester Girl,Eels,By the old newsstand
289,Manchester Girl,Eels,"Oh, I'll meet you there tonight"
291,Manchester Girl,Eels,Shoot out at a neighbor's house
292,Manchester Girl,Eels,She pulls the covers over her head
293,Manchester Girl,Eels,She's counting the shots as they go by
295,Manchester Girl,Eels,In Pandora's litter box
296,Manchester Girl,Eels,"Well, it's getting mighty high"
297,Manchester Girl,Eels,That cat's gonna keep her up at night
299,Manchester Girl,Eels,Another scary dream
300,Manchester Girl,Eels,Another cigarette
301,Manchester Girl,Eels,She's locked outside a world
302,Manchester Girl,Eels,Just a Manchester girl
304,Manchester Girl,Eels,"Oh, I'll meet you there"
305,Manchester Girl,Eels,By the old newsstand
306,Manchester Girl,Eels,"Oh, I'll meet you there tonight"
307,The Turnaround,Eels,Another morning in the evening
308,The Turnaround,Eels,Times still on the floor
309,The Turnaround,Eels,And I don’t even know her name
310,The Turnaround,Eels,Or if she lives here
311,The Turnaround,Eels,Had enough but I want more
312,The Turnaround,Eels,I don’t remember how I got here
313,The Turnaround,Eels,And how long it’s been now
314,The Turnaround,Eels,"A day or two, maybe more"
316,The Turnaround,Eels,On the whole must remains
317,The Turnaround,Eels,Never wanted anyway
318,The Turnaround,Eels,I always bit the hand that beat me
319,The Turnaround,Eels,And they rode me off
320,The Turnaround,Eels,It’s easy not to care
322,The Turnaround,Eels,Never trusted anyone 
323,The Turnaround,Eels,Don’t see why I should now
324,The Turnaround,Eels,Fade some blinking never fair
326,The Turnaround,Eels,You’re all gonna be sorry when I’ll leave town
327,The Turnaround,Eels,"And get it together, for the turnaround"
329,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
330,The Turnaround,Eels,The first step is out the door and onto the street
331,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
332,The Turnaround,Eels,The first step is out the door and onto the street
333,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
334,The Turnaround,Eels,The first step is out the door and onto the street
335,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
336,The Turnaround,Eels,The first step is out the door and onto the street
337,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
338,The Turnaround,Eels,The first step is out the door and onto the street
339,The Turnaround,Eels,6 bucks in my pocket and these shoes on my feet
340,The Turnaround,Eels,The first step is out the door and onto the street
341,For You,Eels,Where do you go when
342,For You,Eels,The day is done
343,For You,Eels,But you are not?
344,For You,Eels,"You look for a friend, but"
345,For You,Eels,Maybe I'm
346,For You,Eels,All you got
348,For You,Eels,Hard to pretend that I've always been here
349,For You,Eels,Ready to be your man
351,For You,Eels,And I heard sounds
352,For You,Eels,Comin' through
353,For You,Eels,The bedroom wall
354,For You,Eels,Somebody cryin'
355,For You,Eels,Echoin'
356,For You,Eels,Down the hall
358,For You,Eels,Never knew what it is to be a man
359,For You,Eels,But now I know that I can
361,For You,Eels,It's all here for you
362,For You,Eels,It's all here for you
364,For You,Eels,And when you need me
365,For You,Eels,You know that I'm
366,For You,Eels,Always here
367,For You,Eels,It's not gonna be like
368,For You,Eels,It ever was
369,For You,Eels,"Before, my dear"
371,For You,Eels,Hard to believe the dyin' words of a lyin' man
372,For You,Eels,But that's not me
373,For You,Eels,Here I am
375,For You,Eels,It's all here for you
376,For You,Eels,It's all here for you
377,Looking Up,Eels,"Ah, it's looking up"
378,Looking Up,Eels,Let me tell you what I mean
379,Looking Up,Eels,Used to be kind of bitter
380,Looking Up,Eels,Always had a babysitter
381,Looking Up,Eels,But I'm feeling much fitter
382,Looking Up,Eels,Now I'm pretty sweet
383,Looking Up,Eels,Back on my feet
385,Looking Up,Eels,Walking down the street
386,Looking Up,Eels,"Yeah, I'm looking up"
387,Looking Up,Eels,It's looking up
389,Looking Up,Eels,I used to be cruel
390,Looking Up,Eels,Kind of a tool
391,Looking Up,Eels,Like a damn fool
392,Looking Up,Eels,Now I'm oh-so-kind
393,Looking Up,Eels,Got no worried mind
394,Looking Up,Eels,I'm a real find
395,Looking Up,Eels,"Yeah, it's looking up"
397,Looking Up,Eels,I'm looking up
398,Looking Up,Eels,I'm looking up
399,Looking Up,Eels,It's looking up
400,Looking Up,Eels,"Yeah, I'm looking up"
402,Looking Up,Eels,"I never had a clue, man"
403,Looking Up,Eels,How it was gonna go
404,Looking Up,Eels,But it goes to show you
405,Looking Up,Eels,You just never know
406,Looking Up,Eels,"It took a little while, but I'm a real fine man now"
407,Looking Up,Eels,"Never could, but I always can now"
409,Looking Up,Eels,Time has healed me
410,Looking Up,Eels,Can you feel me looking up?
411,Looking Up,Eels,(Looking up)
412,Looking Up,Eels,"Yeah, it's looking up"
413,Looking Up,Eels,(Looking up)
414,Looking Up,Eels,I'm looking up
415,Looking Up,Eels,(Looking up)
416,Looking Up,Eels,Looking up
417,Looking Up,Eels,(Looking up)
418,Looking Up,Eels,(Looking up)
419,Looking Up,Eels,(Looking up)
421,Looking Up,Eels,I said
422,Looking Up,Eels,Time has healed me (Looking up)
423,Looking Up,Eels,Can you feel me looking up? (Looking up)
424,Looking Up,Eels,(Looking up)
425,Looking Up,Eels,I'm looking up
426,Looking Up,Eels,(Looking up)
427,Looking Up,Eels,I'm looking up
428,Looking Up,Eels,(Looking up)
429,Looking Up,Eels,Looking up
430,Looking Up,Eels,(Looking up)
432,Looking Up,Eels,"It took a little while, but I'm a real fine man now (Looking up)"
433,Looking Up,Eels,"Never could, but I always can now (Looking up)"
435,Looking Up,Eels,(Looking up)
436,Looking Up,Eels,(Looking up)
437,Looking Up,Eels,I'm looking up
438,Looking Up,Eels,(Looking up)
439,Looking Up,Eels,I'm looking up
440,Looking Up,Eels,(Looking up)
441,Looking Up,Eels,I'm looking up
442,Looking Up,Eels,(Looking up)
443,Looking Up,Eels,I'm looking up
444,Looking Up,Eels,(Looking up)
445,Looking Up,Eels,I'm looking up
447,Looking Up,Eels,(Looking up)
448,Looking Up,Eels,(Looking up)
449,Looking Up,Eels,(Looking up)
450,Looking Up,Eels,(Looking up)
451,Looking Up,Eels,(Looking up)
452,Looking Up,Eels,(Looking up)
453,Looking Up,Eels,(Looking up)
454,Looking Up,Eels,(Looking up)
455,Looking Up,Eels,(Looking up)
456,Looking Up,Eels,(Looking up)
457,Looking Up,Eels,(Looking up)
458,Looking Up,Eels,(Looking up)
459,Looking Up,Eels,(Looking up)
461,Looking Up,Eels,I'm looking up
462,Looking Up,Eels,(Looking up)
463,Looking Up,Eels,I'm looking up
464,Looking Up,Eels,(Looking up)
465,Looking Up,Eels,I'm looking up
466,Looking Up,Eels,(Looking up)
467,Looking Up,Eels,I'm looking up
468,Looking Up,Eels,(Looking up)
469,Looking Up,Eels,(Looking up)
470,That's Not Really Funny,Eels,Did you think that I would laugh
471,That's Not Really Funny,Eels,When you said I was small?
472,That's Not Really Funny,Eels,Did you think that that would pass
473,That's Not Really Funny,Eels,As if nothing at all?
474,That's Not Really Funny,Eels,"You say a lot of funny things, my little bunny"
475,That's Not Really Funny,Eels,And I almost always laugh
476,That's Not Really Funny,Eels,But that's not really funny
478,That's Not Really Funny,Eels,You play the little bells and tell a good story
479,That's Not Really Funny,Eels,You bake delicious pie and that's enough for me
480,That's Not Really Funny,Eels,But I am big I am your man 
481,That's Not Really Funny,Eels,And you're my little honey
482,That's Not Really Funny,Eels,And I like what you have to say
483,That's Not Really Funny,Eels,But that's not really funny
485,That's Not Really Funny,Eels,You must not continue to emasculate me
486,That's Not Really Funny,Eels,The neighbor children through the window
487,That's Not Really Funny,Eels,Clearly see
488,That's Not Really Funny,Eels,The little boy will wipe his nose because it's runny
489,That's Not Really Funny,Eels,Then point at me and laugh
490,That's Not Really Funny,Eels,But that's not really funny
491,Buss Stop Boxer,Eels,I don't miss where I came from
492,Buss Stop Boxer,Eels,But each night I dream about being back home
493,Buss Stop Boxer,Eels,When I wake up in the morning
494,Buss Stop Boxer,Eels,I'm too tired
495,Buss Stop Boxer,Eels,And tired of being alone
497,Buss Stop Boxer,Eels,So I get up and go downtown
498,Buss Stop Boxer,Eels,And pick me out a little piece of ground
499,Buss Stop Boxer,Eels,Where I can prove something to the world
500,Buss Stop Boxer,Eels,I can prove something to the world
502,Buss Stop Boxer,Eels,Don't look at me
503,Buss Stop Boxer,Eels,I'm the bus stop boxer
505,Buss Stop Boxer,Eels,Daddy put us in the truck and
506,Buss Stop Boxer,Eels,Dropped us off and said good luck
507,Buss Stop Boxer,Eels,Then one lucky kid waiting for the bus
508,Buss Stop Boxer,Eels,Made a winner out of one of us
510,Buss Stop Boxer,Eels,Don't look at me
511,Buss Stop Boxer,Eels,I'm the bus stop boxer
513,Buss Stop Boxer,Eels,Going down to the railroad tracks 
514,Buss Stop Boxer,Eels,Where people know that they better not relax
515,Buss Stop Boxer,Eels,I'm the man
516,Buss Stop Boxer,Eels,Baby I am the man
517,Buss Stop Boxer,Eels,This is where I can make you understand
518,Living Life,Eels,Hold me like a mother would 
519,Living Life,Eels,"Like I've always known somebody should, yeah,"
520,Living Life,Eels,"although tomorrow, it don't look that good "
521,Living Life,Eels,"Well, it just goes to show "
523,Living Life,Eels,Though people say we're an unlikely couple 
524,Living Life,Eels,I'm seeing double of you 
526,Living Life,Eels,"Oh,  "
528,Living Life,Eels,This is life 
529,Living Life,Eels,And everything's all right 
530,Living Life,Eels,Living living living living living living
531,Living Life,Eels,living life 
533,Living Life,Eels,"Oh, hope for the hopeless"
534,Living Life,Eels,I'm learning to cope 
535,Living Life,Eels,with the emotion-less mediocracy
536,Living Life,Eels,Oh. 
538,Living Life,Eels,Day-to-day living 
540,Living Life,Eels,I cannot help but be restless
541,Living Life,Eels,When everything seems so tasteless
543,Living Life,Eels,And all the colors seem to have faded away. 
545,Living Life,Eels,"Oh, "
546,Living Life,Eels,This is life 
547,Living Life,Eels, 
548,Living Life,Eels,And everything's all right 
549,Living Life,Eels,Living living living living living living
550,Living Life,Eels,living life 
552,Living Life,Eels,Hold me like a mother would 
553,Living Life,Eels,"Like I've always known somebody should, yeah. "
554,Living Life,Eels,"although tomorrow, it don't look that good "
555,Living Life,Eels,"Well, it just goes to show "
556,Living Life,Eels,Though people say we're an unlikely couple 
557,Living Life,Eels,"Doris Day, and Mott the Hoople "
558,Living Life,Eels, 
559,Living Life,Eels,"Oh, "
561,Living Life,Eels,This is life
562,Living Life,Eels,And everything's all right 
563,Living Life,Eels,Living living living living living living
564,Living Life,Eels,living life
565,Fashion Awards,Eels,Let's go down to the fashion show
566,Fashion Awards,Eels,With all the pretty people that you don't know
567,Fashion Awards,Eels,We'll sit down in the velvet chairs
568,Fashion Awards,Eels,They'll hand awards out for best hair
569,Fashion Awards,Eels,"And if we don't win one, well, then"
570,Fashion Awards,Eels,We'll blow off our heads in despair
571,Fashion Awards,Eels,We'll blow off our heads in despair
573,Fashion Awards,Eels,I smell magic in the room
574,Fashion Awards,Eels,Flashing lights and sonic booms
575,Fashion Awards,Eels,Lovely saps all without a care
576,Fashion Awards,Eels,Nobody said that the world was fair
577,Fashion Awards,Eels,"And if they did say so, well, then"
578,Fashion Awards,Eels,We'll blow off our heads in despair
579,Fashion Awards,Eels,We'll blow off our heads in despair
581,Fashion Awards,Eels,Let's go down to the fashion show
582,Fashion Awards,Eels,With all the pretty people and piles of blow
583,Fashion Awards,Eels,We'll sit down in the velvet chairs
584,Fashion Awards,Eels,And hang on tight to our bus fare
585,Fashion Awards,Eels,And if it falls between the seats
586,Fashion Awards,Eels,We'll blow off our heads in despair
587,Fashion Awards,Eels,We'll blow off our heads in despair
588,The Epiphany,Eels,My old friend
589,The Epiphany,Eels,I just want to go back
590,The Epiphany,Eels,To that simpler time
591,The Epiphany,Eels,When we were so happy and free
592,The Epiphany,Eels,My old friend
593,The Epiphany,Eels,Can I just go back?
595,The Epiphany,Eels,My old friend
596,The Epiphany,Eels,Please take me back
597,The Epiphany,Eels,To those halcyon days
598,The Epiphany,Eels,So far away now
599,The Epiphany,Eels,Can I just go back?
601,The Epiphany,Eels,I can't go back
602,The Epiphany,Eels,But I can make today a memory to last
603,If You See Natalie,Eels,If you see Natalie
604,If You See Natalie,Eels,Send along this message
605,If You See Natalie,Eels,I know that you've been through
606,If You See Natalie,Eels,An awful lot of late
608,If You See Natalie,Eels,"Girl,"
609,If You See Natalie,Eels,Steady the trembling hand
610,If You See Natalie,Eels,That's what you do
611,If You See Natalie,Eels,"Girl,"
612,If You See Natalie,Eels,Steady your trembling hands
613,If You See Natalie,Eels,Then see what's in front of you
615,If You See Natalie,Eels,Friends and fortunetellers
616,If You See Natalie,Eels,They all say you're gonna die
617,If You See Natalie,Eels,If you don't brighten up
618,If You See Natalie,Eels,You know you gotta try
620,If You See Natalie,Eels,"Girl,"
621,If You See Natalie,Eels,Steady the trembling hand
622,If You See Natalie,Eels,That's what you do
623,If You See Natalie,Eels,"Girl,"
624,If You See Natalie,Eels,Steady your trembling hands
625,If You See Natalie,Eels,Then see what's in front of you
627,If You See Natalie,Eels,If you see Natalie
628,If You See Natalie,Eels,Send along this message
629,If You See Natalie,Eels,You may not need this world
630,If You See Natalie,Eels,But this world needs you here
632,If You See Natalie,Eels,"Girl,"
633,If You See Natalie,Eels,Steady the trembling hand
634,If You See Natalie,Eels,That's what you do
635,If You See Natalie,Eels,"Girl,"
636,If You See Natalie,Eels,Steady your trembling hands
637,If You See Natalie,Eels,Then see what's in front of you
639,If You See Natalie,Eels,You might not feel it now
640,If You See Natalie,Eels,But you're gonna get there
641,If You See Natalie,Eels,And see it somehow
642,If You See Natalie,Eels,"You're gonna be alright, girl"
643,Stumbling Bee,Eels,Sometimes I feel like a stumbling bee
644,Stumbling Bee,Eels,Tryna fly in November
645,Stumbling Bee,Eels,"I feel so cold now, I might be dying"
646,Stumbling Bee,Eels,"When things were good, I can't remember"
648,Stumbling Bee,Eels,Trying to fly away
649,Stumbling Bee,Eels,But it looks like I gotta stay
651,Stumbling Bee,Eels,My heart is busted up but not broke
